timestamp;Waermeverbrauch_MWh;Gasverbrauch_BHKWm3;Waermeerzeugung_BHKW_MWh;Gasverbrauch_Gaskessel_m3;Waermeverzeugung_Gaskessel_MWh;Leistung_BHKW_Thermisch;Leistung_BHKW_elektrisch
Jan 22;21.9582;3649.555476;23.3487907;3527.836575;0.065454545;73;33
Feb 22;13.9124;4430.375152;28.3679697;4302.909091;0.312727273;73;33
Mrz 22;11.3161;3953.171636;25.2806303;3827.155636;0.109818182;73;33
Apr 22;8.1622;2785.657849;17.63689964;2706.645376;0.114480287;73;33
Mai 22;3.3188;1152.947456;7.436225146;1127.022281;0.132251462;73;33
Jun 22;2.0543;905.8492105;5.901427632;894.0663651;0.175526316;73;33
Jul 22;1.604;846.69;5.501325;817.8806875;0;73;33
Aug 22;1.5672;905.9254054;5.983827027;876.6050811;0;73;33
Sep 22;4.1861;1264.994595;8.532972973;1222.718919;0;73;33
Okt 22;4.6601;1800.8;12.24262069;1736.078276;0;73;33
Nov 22;9.9511;2873.779333;19.02604598;2784.737724;0;73;33
Dez 22;16.099;4756.676067;31.08117333;4600.5316;0.0184;73;33
